Название документа,Автор,Дата создания,Шрифт,Размер шрифта,Верхнее поле (см),Нижнее поле (см),Левое поле (см),Правое поле (см),Межстрочный интервал,Отступ абзаца (см),Наличие колонтитулов,Наличие нумерации страниц,Наличие титульного листа,Верно ли оформлены заголовки,Есть ли содержание с правильными отступами,Верно ли оформлены ссылки,Верно ли оформлены таблицы,Верно ли оформлены рисунки,Соответствует ли оформление списков,Правильно ли оформлены приложения,Верно ли указаны реквизиты документа,Соответствует ГОСТ
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 145,Екатерина Вячеславовна Белякова,02.07.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,False,False,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 146,Медведева Полина Константиновна,31.03.2024,Times New Roman,14,2.5,2.0,3.0,1.0,1.5,1.25,True,False,True,True,True,False,False,True,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 147,Соловьев Евдоким Юльевич,04.06.2021,Times New Roman,14,2.0,2.5,3.0,1.0,0.8,1.25,True,False,True,False,True,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 148,Нинель Рудольфовна Савина,05.04.2025,Times New Roman,13,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 149,Дьячков Мирон Вилорович,12.06.2023,Times New Roman,14,2.0,2.5,2.5,1.0,1.5,1.25,False,True,True,True,True,False,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 150,Новикова Елизавета Александровна,08.12.2023,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 151,Агафья Феликсовна Денисова,04.05.2024,Verdana,14,2.0,2.0,3.0,1.5,1.5,1.25,True,True,False,True,True,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 152,Аристарх Арсенович Тарасов,11.08.2021,Times New Roman,14,2.0,1.5,3.0,1.0,0.8,1.25,True,False,False,True,False,True,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 153,Антонина Ждановна Лаврентьева,08.09.2024,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,False,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 154,Регина Оскаровна Зыкова,01.03.2022,Times New Roman,14,2.5,2.0,3.0,1.0,1.5,1.5,True,True,True,True,True,True,True,False,False,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 155,Ким Августович Осипов,17.01.2023,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,False,True,True,False,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 156,Алина Аскольдовна Тарасова,21.10.2022,Times New Roman,14,2.0,2.0,4.0,1.5,1.5,1.25,True,True,True,True,False,True,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 157,Эраст Глебович Суханов,29.08.2022,Times New Roman,14,2.0,2.0,3.0,1.5,1.0,1.25,True,True,True,False,True,True,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 158,Надежда Анатольевна Капустина,05.06.2023,Arial,14,2.0,2.0,3.0,1.5,1.0,1.25,True,True,False,True,True,False,True,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 159,Ксения Архиповна Гришина,20.12.2021,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,2.0,True,False,True,True,False,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 160,Кондратий Георгиевич Игнатьев,02.07.2022,Times New Roman,14,1.5,2.5,3.0,1.0,1.5,1.25,True,True,False,True,True,False,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 161,Варвара Ильинична Волкова,27.03.2024,Times New Roman,14,2.0,2.0,3.0,1.0,2.0,1.25,True,True,True,True,True,False,True,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 162,Баранова Синклитикия Валентиновна,25.05.2022,Times New Roman,14,2.0,2.0,3.0,1.0,2.0,1.25,True,True,True,True,True,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 163,Любовь Натановна Шубина,17.11.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,False,False,True,True,True,True,True,False,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 164,Маркова Любовь Викторовна,12.04.2024,Times New Roman,14,2.0,2.0,4.0,1.0,1.5,1.25,False,False,True,True,True,True,True,False,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 165,Громов Андрей Устинович,30.04.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,False,True,False,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 166,Феликс Чеславович Трофимов,11.12.2022,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 167,Блохина Антонина Егоровна,03.05.2023,Times New Roman,14,2.0,2.0,3.0,1.5,1.0,1.25,True,True,True,True,True,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 168,Кабанов Федор Давидович,28.01.2025,Times New Roman,12,2.5,2.0,3.0,1.0,1.0,1.5,True,False,True,False,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 169,Фаина Болеславовна Кулагина,29.06.2023,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 170,Мокей Харлампьевич Овчинников,14.09.2023,Times New Roman,14,2.0,2.0,4.0,1.0,1.5,1.25,True,True,True,True,True,False,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 171,Комиссаров Платон Васильевич,29.03.2024,Times New Roman,16,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,False,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 172,Евпраксия Геннадьевна Никитина,22.03.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,False,True,True,True,True,False,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 173,Мария Мироновна Рыбакова,23.05.2023,Times New Roman,14,2.0,2.0,2.5,1.0,2.0,1.25,True,True,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 174,Родион Ааронович Михеев,10.07.2022,Times New Roman,14,1.5,2.0,4.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 175,Панфил Дмитриевич Зуев,28.02.2025,Arial,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,True,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 176,Юдин Степан Феодосьевич,09.05.2025,Calibri,12,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,True,False,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 177,Алина Федоровна Лихачева,24.08.2024,Verdana,14,2.0,2.0,4.0,1.0,1.5,1.0,True,True,True,False,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 178,Воробьев Наркис Германович,31.12.2021,Times New Roman,14,2.0,2.0,2.5,1.0,0.8,1.25,True,False,True,True,True,False,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 179,Лука Зиновьевич Борисов,28.06.2024,Times New Roman,14,2.0,2.0,2.5,1.0,1.5,1.25,True,True,True,False,True,True,True,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 180,Фомин Андроник Валерьянович,04.04.2023,Times New Roman,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,True,True,False,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 181,Колесникова Елизавета Аркадьевна,03.10.2024,Times New Roman,14,2.0,1.5,2.5,1.0,2.0,1.25,True,True,False,True,True,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 182,Акулина Макаровна Князева,28.11.2021,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 183,Олимпиада Харитоновна Константинова,14.11.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,False,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 184,Евсеева Татьяна Петровна,13.01.2025,Times New Roman,14,2.0,2.5,3.0,1.0,1.5,1.25,False,False,True,True,True,True,True,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 185,Арсений Адрианович Меркушев,07.11.2023,Times New Roman,14,1.5,2.5,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 186,Никон Вячеславович Мельников,11.06.2021,Times New Roman,14,2.0,2.5,3.0,1.5,1.5,1.25,True,False,True,True,True,True,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 187,Элеонора Филипповна Рогова,23.03.2024,Arial,14,2.0,1.5,3.0,1.0,1.5,1.0,True,True,True,False,True,True,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 188,Селиван Данилович Туров,02.06.2023,Verdana,14,2.0,2.0,3.0,1.0,0.8,1.25,True,True,True,True,True,True,False,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 189,Светлана Игоревна Блинова,22.01.2023,Arial,14,1.5,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 190,Куликов Афиноген Эдгарович,05.03.2024,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,True,True,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 191,Алина Максимовна Колесникова,07.04.2022,Times New Roman,13,1.5,1.5,3.0,1.0,2.0,2.0,True,False,True,True,True,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 192,Рожков Ананий Фомич,19.02.2022,Times New Roman,14,2.0,2.0,2.5,1.0,1.5,2.0,True,True,False,True,False,False,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 193,Комаров Наркис Игоревич,06.02.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,False,True,True,True,True,True,True,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 194,Афанасьев Моисей Ефстафьевич,17.06.2021,Times New Roman,14,2.0,2.0,3.0,1.0,0.8,1.5,True,False,True,False,True,False,False,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 195,Александра Мироновна Баранова,06.09.2021,Times New Roman,14,2.5,2.0,3.0,1.0,1.5,1.25,True,True,False,True,False,True,False,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 196,Галина Геннадиевна Уварова,22.10.2021,Times New Roman,14,2.0,2.0,4.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 197,Шашкова Надежда Александровна,30.08.2023,Times New Roman,14,2.5,2.0,2.5,1.0,1.5,1.25,True,False,True,True,False,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 198,Ираида Станиславовна Журавлева,01.05.2022,Verdana,13,1.5,2.0,4.0,1.0,1.5,1.25,True,True,True,True,True,True,False,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 199,Казакова Синклитикия Захаровна,15.01.2022,Times New Roman,12,2.0,2.5,3.0,1.5,0.8,1.25,True,False,False,True,True,True,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 200,Варлаам Ерофеевич Пестов,04.02.2024,Arial,14,2.0,2.0,3.0,1.5,1.5,1.25,True,False,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 201,Феоктист Глебович Мухин,18.01.2024,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 202,Синклитикия Станиславовна Александрова,06.05.2023,Times New Roman,12,2.0,2.5,3.0,1.0,1.5,1.25,True,True,True,True,False,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 203,Одинцов Данила Ефимович,25.06.2023,Times New Roman,14,2.5,2.5,3.0,1.0,1.5,1.25,True,True,True,False,True,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 204,Шилов Вениамин Эдуардович,20.02.2023,Times New Roman,14,2.0,1.5,4.0,1.0,1.5,2.0,True,False,True,True,False,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 205,Воронцов Чеслав Евсеевич,07.12.2021,Times New Roman,14,2.5,2.0,3.0,1.0,1.0,1.25,True,True,True,True,True,True,False,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 206,Майя Кузьминична Горшкова,25.09.2023,Times New Roman,14,2.0,2.0,3.0,1.0,0.8,1.25,True,False,True,False,False,False,True,False,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 207,Наталья Николаевна Кудряшова,16.08.2023,Times New Roman,13,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,False,False,False,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 208,Антонин Исидорович Белоусов,08.08.2024,Times New Roman,14,1.5,2.0,2.5,1.0,1.0,1.25,True,True,True,True,True,True,False,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 209,Мамонтова Лукия Афанасьевна,09.09.2023,Times New Roman,14,2.5,1.5,3.0,1.0,1.5,1.25,True,True,False,False,True,True,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 210,Влас Власович Нестеров,11.11.2021,Arial,14,2.0,2.0,3.0,1.0,1.5,1.0,False,True,False,True,True,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 211,Сорокин Исай Федотович,11.07.2024,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,False,True,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 212,Феликс Бориславович Никитин,22.04.2024,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.5,True,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 213,Ермакова Валентина Богдановна,08.06.2021,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.5,True,True,True,False,True,True,False,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 214,Исай Венедиктович Комиссаров,11.07.2024,Times New Roman,16,2.0,2.0,4.0,1.0,1.5,1.25,False,True,True,True,True,False,True,False,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 215,Зинаида Павловна Киселева,03.06.2023,Verdana,14,2.0,2.0,3.0,1.0,1.5,2.0,True,True,True,True,True,True,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 216,Автоном Федотович Моисеев,06.11.2024,Verdana,14,1.5,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 217,Платон Марсович Горбачев,06.04.2024,Times New Roman,14,2.0,2.5,3.0,1.0,1.5,1.25,True,True,False,True,False,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 218,Синклитикия Тимофеевна Зайцева,26.12.2021,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 219,Ширяева Елизавета Юльевна,02.04.2025,Times New Roman,14,2.0,1.5,4.0,1.5,1.5,1.25,False,False,True,True,False,False,True,False,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 220,Модест Иларионович Осипов,12.04.2022,Times New Roman,14,2.0,2.0,3.0,1.0,0.8,1.25,True,True,True,False,True,True,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 221,Нина Кузьминична Громова,12.02.2024,Arial,14,2.0,1.5,3.0,1.5,1.5,2.0,True,True,True,False,True,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 222,Прохор Викентьевич Носов,31.10.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,False,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 223,Фомичева Марина Вадимовна,16.03.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,True,True,True,False,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 224,Исаева Фаина Аркадьевна,21.09.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,False,False,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 225,Милица Геннадьевна Жукова,19.03.2024,Arial,14,2.0,2.0,3.0,1.0,1.5,2.0,True,True,True,True,False,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 226,Клавдий Ефремович Дорофеев,04.12.2024,Arial,14,2.5,2.0,2.5,1.0,1.5,1.25,True,False,False,True,True,False,True,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 227,Фёкла Никифоровна Никитина,02.09.2024,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.25,True,True,False,False,True,True,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 228,Синклитикия Никифоровна Полякова,04.09.2021,Times New Roman,14,2.0,2.5,3.0,1.0,1.5,1.25,True,True,True,False,True,True,False,False,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 229,Моисеев Кирилл Юльевич,08.08.2023,Times New Roman,16,2.0,2.0,2.5,1.0,1.5,1.25,False,True,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 230,Виктор Димитриевич Королев,31.01.2025,Times New Roman,14,2.0,2.0,4.0,1.0,1.5,1.25,True,True,True,True,True,False,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 231,Любовь Рудольфовна Артемьева,18.04.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,False,True,True,False,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 232,Авксентий Ефимович Коновалов,21.05.2025,Times New Roman,16,1.5,2.0,3.0,1.0,1.5,1.25,True,True,True,False,False,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 233,Егоров Иларион Богданович,12.09.2024,Times New Roman,14,1.5,2.0,3.0,1.0,1.5,1.0,True,True,True,False,True,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 234,Онуфрий Валерианович Михеев,09.02.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.0,2.0,True,True,True,True,True,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 235,Вероника Харитоновна Фомичева,20.03.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,2.0,True,True,False,True,True,False,True,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 236,Логинова Ульяна Григорьевна,25.03.2025,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,2.0,True,True,True,True,True,False,True,False,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 237,Воробьева Василиса Робертовна,13.10.2021,Times New Roman,14,2.0,1.5,4.0,1.0,1.5,1.25,True,True,True,True,True,True,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 238,Гурьева Марина Романовна,26.06.2022,Times New Roman,12,2.5,2.0,3.0,1.0,1.5,1.5,True,True,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 239,Юлия Вениаминовна Савельева,28.05.2025,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.0,True,True,False,True,True,True,False,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 240,Макар Зиновьевич Одинцов,08.09.2021,Times New Roman,14,2.0,2.0,4.0,1.0,1.5,1.5,True,True,False,True,True,False,True,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 241,Мельников Евстигней Харлампьевич,16.03.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.0,False,False,True,True,True,True,True,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 242,Быков Остап Викентьевич,25.07.2022,Arial,14,2.0,1.5,3.0,1.0,1.5,1.25,False,True,True,True,False,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 243,Софон Егорович Фролов,14.07.2022,Times New Roman,14,2.5,2.0,3.0,1.0,1.5,1.25,True,True,True,False,False,True,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 244,Панфилова Людмила Юльевна,08.07.2023,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,False,True,True,True,True,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 245,Ильина Пелагея Ильинична,24.05.2023,Calibri,12,1.5,2.0,3.0,1.0,1.5,2.0,True,True,True,True,True,True,True,True,False,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 246,Мартынова София Натановна,21.10.2021,Times New Roman,14,2.0,2.0,3.0,1.5,0.8,1.25,True,True,False,True,True,False,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 247,Светозар Исидорович Ларионов,05.08.2023,Times New Roman,14,2.0,2.5,3.0,1.5,1.5,1.25,True,True,True,True,True,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 248,тов. Беляков Станислав Ефремович,22.04.2025,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,False,True,False,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 249,Филиппов Фортунат Матвеевич,16.09.2023,Times New Roman,14,2.0,2.0,4.0,1.0,1.0,1.0,True,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 250,Капитон Григорьевич Аксенов,08.04.2023,Times New Roman,16,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 251,Остап Иосифович Куликов,15.10.2022,Times New Roman,14,2.0,2.0,3.0,1.0,0.8,1.25,True,True,True,False,True,False,True,False,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 252,Яковлева Валерия Кузьминична,20.12.2021,Times New Roman,14,2.0,1.5,3.0,1.0,0.8,1.25,True,True,True,True,True,True,True,False,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 253,Эдуард Яковлевич Никонов,17.10.2024,Arial,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 254,Пестова Зоя Андреевна,20.02.2025,Times New Roman,14,2.0,2.0,2.5,1.0,1.5,1.25,True,True,True,True,False,False,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 255,Большаков Станимир Афанасьевич,02.01.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,False,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 256,Гедеон Эдгарович Рогов,04.08.2023,Times New Roman,14,2.0,2.0,4.0,1.0,1.5,1.25,True,True,True,True,True,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 257,Касьян Авдеевич Копылов,19.10.2021,Times New Roman,14,2.0,2.0,4.0,1.0,1.5,1.25,True,True,True,True,True,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 258,Фролов Артем Аксёнович,17.08.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,False,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 259,Кудряшова Глафира Рубеновна,05.05.2022,Times New Roman,16,2.5,1.5,3.0,1.0,0.8,1.25,True,True,False,False,True,True,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 260,Гордеев Каллистрат Тарасович,27.11.2021,Times New Roman,14,2.5,2.0,4.0,1.0,1.5,1.25,True,True,True,False,True,True,False,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 261,Уваров Климент Арсеньевич,30.12.2024,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 262,Элеонора Аскольдовна Григорьева,17.04.2024,Verdana,14,2.0,2.0,3.0,1.0,0.8,1.5,True,True,True,False,True,True,True,False,False,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 263,Любосмысл Изотович Князев,18.07.2022,Verdana,14,2.0,1.5,3.0,1.5,1.5,1.25,True,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 264,Федор Иларионович Киселев,21.06.2022,Times New Roman,12,2.0,2.0,4.0,1.0,1.5,1.5,True,False,True,True,False,True,False,False,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 265,Константинов Елисей Матвеевич,28.10.2022,Arial,14,2.0,2.0,3.0,1.0,1.5,1.5,True,True,True,False,True,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 266,Федотова Ксения Альбертовна,07.07.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,True,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 267,Екатерина Харитоновна Ильина,04.07.2024,Times New Roman,14,2.0,2.5,3.0,1.5,1.5,1.25,False,False,True,False,True,True,True,False,False,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 268,Романова Вероника Феликсовна,11.06.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,False,True,True,True,True,True,True,True,True,True
